id,reputation,creationdate,displayname,views,upvotes,downvotes
49,101,2011-01-03,Michael Kopinsky,4,4,0
50,3894,2011-01-03,randomx,282,65,12
51,4939,2011-01-03,Joe,239,169,5
52,101,2011-01-03,Michael Cheng,5,1,0
53,255,2011-01-03,GShenanigan,24,101,0
54,101,2011-01-03,Adam Porad,5,16,0
56,101,2011-01-03,Nils,2,0,0
58,101,2011-01-03,David Fullerton,10,21,0
59,101,2011-01-03,Rebecca Chernoff,15,4,0
60,3025,2011-01-03,Jeremiah Peschka,250,55,6
61,30122,2011-01-03,David Spillett,1328,49,4
62,101,2011-01-03,Jason Punyon,7,3,0
63,11064,2011-01-03,Gaius,884,1211,94
64,898,2011-01-03,LittleBobbyTables - Au Revoir,162,52,5
67,1505,2011-01-03,rem,56,49,0
68,576,2011-01-03,IamIC,49,36,0
69,443,2011-01-03,Fergus,14,17,0
70,111,2011-01-03,glasnt,3,0,0
71,1145,2011-01-03,David,111,58,0
72,337,2011-01-03,gsharp,9,9,1
73,101,2011-01-03,Connor Albright,2,2,0
74,191,2011-01-03,Kevin,11,0,0
75,101,2011-01-03,Jeremy Privett,1,0,0
76,1495,2011-01-03,Marek Grzenkowicz,115,138,3
77,522,2011-01-03,divided,237,0,0
78,875,2011-01-03,Abie,26,10,0
79,141,2011-01-03,tadamson,10,7,0
80,321,2011-01-03,Thomas Joulin,30,3,0
81,6522,2011-01-03,garik,230,377,2
82,9633,2011-01-03,Peter Eisentraut,458,147,9
83,997,2011-01-03,olle,61,23,0
84,101,2011-01-03,hudsonsedge,4,1,0
85,101,2011-01-03,N J,3,0,0
86,406,2011-01-03,uygar.raf,16,28,0
87,1067,2011-01-03,Aleksandr Levchuk,35,14,0
88,728,2011-01-03,Eddie Awad,39,11,0
90,101,2011-01-03,Craig T,10,16,0
91,113,2011-01-03,damusnet,8,2,0
92,2028,2011-01-03,Larry Coleman,109,72,0
93,101,2011-01-03,Jürgen A. Erhard,9,24,0
94,101,2011-01-03,dee-see,3,4,0
96,540,2011-01-03,Hogan,74,21,4
97,4691,2011-01-03,Brian Ballsun-Stanton,639,152,13
98,101,2011-01-03,Adam Dempsey,2,1,0
99,1333,2011-01-03,misterjaytee,45,11,0
100,101,2011-01-03,Jin,11,4,0
101,952,2011-01-03,Beth Lang,32,58,1
102,1357,2011-01-03,Riedsio,47,28,1
103,101,2011-01-03,Sim,2,7,0
104,233,2011-01-03,Peanut,17,1,0
105,955,2011-01-04,Gabriel Solomon,39,22,0
106,29755,2011-01-04,Jonas,712,99,8
107,368,2011-01-04,Gan,24,29,0
109,1336,2011-01-04,Sebastian Roth,132,69,1
110,216,2011-01-04,Matt Phillips,15,0,0
111,101,2011-01-04,Kevin Montrose,4,28,0
112,256,2011-01-04,Matthew Schinckel,12,2,0
113,737,2011-01-04,mumtaz,23,7,0
114,105,2011-01-04,KV Prajapati,8,84,0
115,2732,2011-01-04,xenoterracide,142,30,7
116,1666,2011-01-04,Tangurena,76,664,1
117,111,2011-01-04,grokus,9,1,0
119,3075,2011-01-04,YasirA,496,27,28
120,1474,2011-01-04,Sathyajith Bhat,220,168,10
121,937,2011-01-04,Kaji,26,57,1
122,101,2011-01-04,Willian Mitsuda,1,38,0
123,163,2011-01-04,James T,5,7,0
125,496,2011-01-04,Gaurav,59,103,0
126,170,2011-01-04,Move More Comments Link To Top,3,31,1
127,101,2011-01-04,Narayana,3,3,0
128,139,2011-01-04,Marlon,4,0,0
129,197,2011-01-04,Stefan Lasiewski,33,22,2
130,4362,2011-01-04,CoderHawk,689,417,3
131,121,2011-01-04,paranjai,2,0,0
132,101,2011-01-04,Atif,1,0,0
134,1761,2011-01-04,John,38,52,0
135,1652,2011-01-04,leeand00,68,64,0
136,11811,2011-01-04,bernd_k,471,838,3
137,101,2011-01-04,Stingervz,2,7,0
138,101,2011-01-04,S Philp,1,0,0
139,1483,2011-01-04,Am1rr3zA,36,31,0
140,101,2011-01-04,Richard L,3,0,0
141,171,2011-01-04,Michael Kohl,4,2,0
142,143,2011-01-04,edosoft,4,14,0
145,101,2011-01-04,ZoFreX,2,2,0
146,1013,2011-01-04,Piers Myers,44,2,0
147,111,2011-01-04,Chris Driver,4,0,0
148,101,2011-01-04,Ralph Shillington,2,14,0
150,101,2011-01-04,Cary Chow,1,1,0
151,604,2011-01-04,BlackICE,43,14,0
153,509,2011-01-04,Julien,25,6,0
154,23544,2011-01-04,Leigh Riffel,2415,1871,72
155,1,2011-01-04,Mark,6,0,0
156,101,2011-01-04,Victor Stanciu,1,1,0
157,9594,2011-01-04,BradC,370,635,15
158,283,2011-01-04,Jarrod Dixon,17,126,0
159,207,2011-01-04,TomaszSobczak,21,8,0
160,101,2011-01-04,Don,1,1,0
161,311,2011-01-04,BozoJoe,6,11,0
162,2314,2011-01-04,Jeff Atwood,342,52,0
163,377,2011-01-04,Andrew Barber,114,33,1
164,101,2011-01-04,b w,1,2,0
165,41,2011-01-04,Bob Blackburn,68,2,0
167,1,2011-01-04,Sumnibot,6,1,1
168,101,2011-01-04,SQLBobScot,2,6,0
169,206,2011-01-04,Gabriel Sosa,8,0,0
170,111,2011-01-05,Pulsehead,3,1,0
171,6198,2011-01-05,jcolebrand,2884,2077,73
172,51,2011-01-05,Dave,4,0,0
174,1334,2011-01-05,TML,90,44,2
175,101,2011-01-05,dan_waterworth,2,0,0
176,133,2011-01-05,niko,5,2,0
177,519,2011-01-05,Jeffrey Kemp,88,35,4
179,1,2011-01-05,Just Will,7,0,0
180,22970,2011-01-05,Derek Downey,2031,1317,38
181,101,2011-01-05,ChronoPositron,1,2,0
182,371,2011-01-06,Alex Bolotov,17,0,0
183,101,2011-01-07,JasonBirch,3,2,0
184,101,2011-01-07,Ben Orozco,1,0,0
185,101,2011-01-07,gkrogers,15,15,0
186,181,2011-01-07,txwikinger,9,6,0
187,131,2011-01-07,MartW,1,3,0
189,11,2011-01-08,Samuel Druker,8,2,0
190,268,2011-01-08,vettipayyan,51,11,0
191,463,2011-01-09,Hendrik Brummermann,60,54,3
192,1041,2011-01-10,Jeff,72,153,2
193,1969,2011-01-10,Gary,128,19,2
194,101,2011-01-10,Joel Spolsky,14,0,0
195,101,2011-01-10,Jay Riggs,5,20,0
196,131,2011-01-10,Conrad Frix,14,5,0
197,181,2011-01-10,John Bledsoe,7,6,1
198,176,2011-01-10,Marc Gravell,33,7,0
199,1003,2011-01-10,Greg Bray,50,28,0
200,1812,2011-01-10,Ben Thul,154,17,0
201,101,2011-01-10,signine,2,0,0
202,301,2011-01-10,Gator,12,1,0
203,260,2011-01-10,Mladen Prajdic,73,2,0
205,101,2011-01-10,Martin Klinke,1,0,0
208,476,2011-01-10,NicCain,10,2,0
209,101,2011-01-10,Santosh Chandavaram,3,0,0
210,173,2011-01-10,Incognito,22,3,0
211,101,2011-01-10,Chris W. Rea,5,1,0
212,101,2011-01-10,Dori,55,0,2
215,335,2011-01-10,Michael Haren,16,20,0
216,115,2011-01-10,niczak,0,5,0
217,111,2011-01-10,Rob Boek,3,2,0
218,101,2011-01-10,John Siracusa,3,0,0
219,1,2011-01-10,Mike,3,0,0
220,101,2011-01-10,Ryan Hayes,1,0,0
222,101,2011-01-10,David Snabel-Caunt,1,1,0
223,101,2011-01-10,Wilfred Knievel,5,0,0
225,101,2011-01-10,glebm,1,1,0
227,101,2011-01-10,Jonik,1,3,0
229,101,2011-01-10,bcmcfc,1,7,0
231,5215,2011-01-10,markdorison,118,2,0
232,101,2011-01-10,Ian Turton,3,26,0
233,101,2011-01-10,Rob Haupt,1,0,0
236,101,2011-01-10,Chris M,3,0,0
237,101,2011-01-10,Federico González,1,0,0
238,101,2011-01-10,Steve K,2,0,0
239,101,2011-01-10,mhmhmhmh,5,0,0
240,141,2011-01-10,agnul,3,6,0
241,101,2011-01-10,Ryan Tenney,3,1,0
242,101,2011-01-10,Mircea Chirea,1,0,0
243,193,2011-01-10,rbottel,8,0,0
244,3374,2011-01-10,Matt M,172,348,20
245,101,2011-01-10,WalterJ89,5,0,0
246,101,2011-01-10,Jon Sagara,4,28,0
247,4943,2011-01-10,Eric Humphrey - lotsahelp,369,16,2
248,101,2011-01-10,Waleed Al-Balooshi,1,0,0
250,175,2011-01-10,Joe Phillips,6,20,0
251,101,2011-01-10,vzczc,1,0,0
253,101,2011-01-10,Mike Diehl,1,0,0
254,193,2011-01-10,Kevin Pullin,9,757,0
256,101,2011-01-10,Kemo,1,0,0
257,101,2011-01-10,CanSpice,3,1,0
259,101,2011-01-10,mjcopple,2,0,0
260,6332,2011-01-10,SQLRockstar,515,81,16
261,181,2011-01-10,Tanel Poder,15,0,0
262,135,2011-01-10,Paul Hadfield,7,1,0
263,101,2011-01-10,Stewart Robinson,1,0,0
264,103,2011-01-10,Michael Myers,6,8,0
266,101,2011-01-10,finnw,3,0,0
267,361,2011-01-10,TREE,12,9,0
269,101,2011-01-10,Corey Hart,1,0,0
270,101,2011-01-10,Seba Illingworth,16,1,0
271,1002,2011-01-10,thatjeffsmith,277,14,0
272,1020,2011-01-10,jsauni,31,11,0
274,508,2011-01-10,Aim Kai,37,53,0
275,101,2011-01-10,Carl,3,1,0
276,101,2011-01-10,Alexander Konstantinov,1,0,0
278,661,2011-01-10,Dan Grossman,70,4,0
279,260,2011-01-10,ChrisF,33,7,2
280,101,2011-01-10,cstamas,1,2,0
282,221,2011-01-10,Mark Davidson,10,11,0
283,715,2011-01-10,Michael Riley - AKA Gunny,208,21,0
284,317,2011-01-10,robertc,11,14,0
285,183,2011-01-10,Brad Christie,9,12,0
286,101,2011-01-10,Colin Pickard,4,10,0
287,406,2011-01-10,Daniele Santi,12,306,0
288,101,2011-01-10,bimbom22,2,0,0
290,1282,2011-01-10,Matt Healy,70,66,5
291,161,2011-01-11,Benjamin Anderson,4,1,0
292,101,2011-01-11,Eric Johnson,3,0,0
293,129,2011-01-11,Tim,294,6,0
295,101,2011-01-11,Adam Davis,3,0,0
296,505,2011-01-11,Jeff,17,54,0
297,243,2011-01-11,the Tin Man,28,6,0
298,101,2011-01-11,StrateSQL,60,1,0
299,101,2011-01-11,Anton Strogonoff,2,0,0
300,101,2011-01-11,Zippit,2,0,0
302,119,2011-01-11,Guy,12,15,0
303,101,2011-01-11,Adrian J. Moreno,2,3,0
304,133,2011-01-11,Chris R. Donnelly,4,29,0
305,101,2011-01-11,Stephen Jennings,3,1,0
307,625,2011-01-11,Webber,22,59,0
308,937,2011-01-11,Gnanam,51,1,0
310,101,2011-01-11,snth,3,2,0
312,111,2011-01-11,Bennett Dill,3,3,0
313,101,2011-01-11,ripper234,1,15,0
314,101,2011-01-11,Mahesh Velaga,1,2,0
315,101,2011-01-11,RobS,4,2,0
316,961,2011-01-11,user316,27,0,0
317,101,2011-01-11,Nikos Steiakakis,2,17,0
320,101,2011-01-11,Christoph Metzendorf,1,0,0
321,6582,2011-01-11,Cade Roux,396,463,19
322,21821,2011-01-11,Frank Heikens,955,125,8
323,101,2011-01-11,Martin Tóth,21,37,0
324,31,2011-01-11,perrick,4,0,0
325,101,2011-01-11,abel,2,0,0
326,1231,2011-01-11,Hanspeter Oberlin,56,22,1
327,315,2011-01-11,shlomoid,17,5,0
328,101,2011-01-11,sebthebert,1,0,0
330,103,2011-01-11,RegDwight,17,1,0
331,267,2011-01-11,Meff,19,7,0
332,101,2011-01-11,stevemegson,3,2,0
333,103,2011-01-11,Zaki,5,103,0
334,101,2011-01-11,deizel.,2,3,0
335,201,2011-01-11,kubi,8,3,0
336,143,2011-01-11,Brian Hooper,4,13,0
337,101,2011-01-11,FireClaw,1,0,0
338,101,2011-01-11,Icode4food,2,23,0
339,101,2011-01-11,Bryan,2,1,0
341,101,2011-01-11,Paul G,1,19,0
342,191,2011-01-11,Gadonski,9,7,0
343,181,2011-01-11,Dan Kelly,10,1,0
344,1,2011-01-11,lynnroth,3,0,0
345,171,2011-01-11,ggponti,2,1,0
347,101,2011-01-11,Dan McClain,4,0,0
348,101,2011-01-11,Vincent Buck,9,5,0
349,101,2011-01-11,Martin Marconcini,4,0,0
350,101,2011-01-11,user350,1,0,0
351,473,2011-01-11,SteveHarville,28,7,0
352,708,2011-01-11,TechieGurl,122,13,1
354,101,2011-01-11,Ahmet Kakıcı,74,4,0
355,101,2011-01-11,dwich,3,4,0
358,101,2011-01-11,Rex,3,0,0
359,103,2011-01-11,Larry Shatzer,2,1,0
360,101,2011-01-11,Christopher Cashell,1,0,0
361,2546,2011-01-11,Lamak,377,340,51
362,101,2011-01-11,tooshel,1,8,0
363,101,2011-01-11,Trevoke,1,0,0
365,303,2011-01-11,j.p.,77,67,0
366,101,2011-01-11,Ither,27,6,0
367,101,2011-01-11,David Harris,4,1,0
368,101,2011-01-11,Vetle,2,1,0
370,101,2011-01-11,Mads Jensen,3,0,0
371,1432,2011-01-11,Nifle,57,53,3
372,101,2011-01-11,antony.trupe,1,0,0
373,161,2011-01-11,Zach Wily,3,0,0
374,565,2011-01-11,john.da.costa,36,18,1
375,101,2011-01-11,JSchaefer,2,6,0
376,101,2011-01-11,Guru,1,1,0
377,233,2011-01-11,Rex M,7,6,0
378,371,2011-01-11,Quassnoi,44,7,0
379,156,2011-01-11,Andrey Goryunov,15,0,0
381,1,2011-01-12,Zach Chen,2,0,0
382,101,2011-01-12,lambacck,1,2,0
383,101,2011-01-12,jeffm,3,2,0
385,549,2011-01-12,Isaac A. Nugroho,58,8,0
386,748,2011-01-12,Giorgi,40,19,0
387,153,2011-01-12,ILX,7,0,0
388,113,2011-01-12,Eko Kurniawan Khannedy,8,15,0
389,101,2011-01-12,bniwredyc,1,0,0
390,101,2011-01-12,Cristi,1,0,0
392,371,2011-01-12,Justin Jenkins,43,1,0
393,365,2011-01-12,balu,22,7,0
394,303,2011-01-12,Stuart Brock,10,4,0
397,101,2011-01-12,Jason Francis,1,0,0
398,101,2011-01-12,msarchet,1,0,0
400,101,2011-01-12,sepehr,2,35,0
403,261,2011-01-12,Nick Pierpoint,29,5,0
405,101,2011-01-12,Slapout,1,0,0
406,196,2011-01-12,Sergei Ousynin,13,6,0
408,163,2011-01-12,Viper_Sb,2,9,0
410,1960,2011-01-12,Ian Bjorhovde,127,18,6
411,101,2011-01-12,arathorn,3,0,0
415,61,2011-01-13,Christof Prettner,9,0,0
416,101,2011-01-13,dyve,2,0,0
418,15055,2011-01-13,Marian,1925,10656,216
420,101,2011-01-13,Colin Desmond,2,0,0
421,185,2011-01-13,Pablo Santa Cruz,2,10,0
422,101,2011-01-13,Dynamo,1,7,0
424,101,2011-01-13,didxga,1,1,0
425,101,2011-01-13,Sparafusile,1,0,0
426,41332,2011-01-13,Brent Ozar,5475,698,46
427,101,2011-01-13,Jeremy,1,1,0
428,101,2011-01-13,Sean Lynch,1,2,0
429,101,2011-01-13,Eric Hauser,1,1,0
430,101,2011-01-13,program247365,1,5,0
431,153,2011-01-14,Alex,39,4,0
432,101,2011-01-14,Gilean,2,0,0
434,111,2011-01-14,arcain,3,16,0
435,143,2011-01-14,ravikanth,5,1,0
437,1,2011-01-14,AUS,1,0,0
438,1,2011-01-14,user438,6,0,0
440,173,2011-01-14,Abimaran Kugathasan,11,54,0
442,369,2011-01-14,vz0,25,1,0
443,101,2011-01-14,mevdiven,2,1,0
444,101,2011-01-14,Kirk Strobeck,2,1,0
445,141,2011-01-14,Julius A,12,1,0
446,101,2011-01-14,felixg,1,0,0
447,101,2011-01-14,docwhat,2,1,0
448,111,2011-01-14,BotNet,2,0,0
449,101,2011-01-14,svachon,1,0,0
450,101,2011-01-14,rajesh pillai,2,14,0
452,101,2011-01-14,LRE,4,3,0
454,101,2011-01-14,Andry,1,0,0
455,103,2011-01-14,Gilles SO- stop being evil,18,12,0
456,163,2011-01-15,Shaun,11,3,0
458,101,2011-01-15,Darryl Hein,1,15,0
459,101,2011-01-15,Chipaca,1,0,0
460,131,2011-01-15,Victor,11,0,0
461,136,2011-01-15,Jahan Zinedine,4,6,0
462,4856,2011-01-15,Caleb,89,8,0
463,511,2011-01-15,Peter Taylor,16,2,0
464,1084,2011-01-16,Sam Saffron,45,6,0
465,101,2011-01-16,Sairam,1,3,0
466,131,2011-01-16,tcnolan,2,0,0
467,181,2011-01-16,Johan Fredrik Varen,7,0,0
468,101,2011-01-16,stian.net,3,1,0
469,101,2011-01-16,Yada,3,0,0
470,240,2011-01-16,LudoMC,17,9,0
471,787,2011-01-16,Kendra Little,170,23,2
472,133,2011-01-16,detroitpro,3,0,0
473,239,2011-01-16,Robert Durgin,20,5,1
476,101,2011-01-16,Ryan Thames,1,0,0
478,101,2011-01-16,Juri,3,0,0
480,132,2011-01-16,Panagiotis Kanavos,46,28,3
483,101,2011-01-16,Adam Maras,5,0,0
484,101,2011-01-16,Kendall Hopkins,4,3,0
485,101,2011-01-16,carson,2,0,0
486,101,2011-01-16,Ben Williams,1,6,0
487,101,2011-01-16,Osukaa,3,0,0
488,101,2011-01-16,Jason w,2,6,0
489,101,2011-01-16,myusuf3,6,34,0
490,101,2011-01-16,Bastien Léonard,2,0,0
492,33,2011-01-16,Shawn,2,0,0
493,241,2011-01-16,Factor Mystic,11,50,0
494,101,2011-01-16,Tamas Czinege,1,0,0
495,131,2011-01-16,Andy Edinborough,9,0,0
497,101,2011-01-16,Will Vousden,1,1,0
498,421,2011-01-16,flesh,27,0,0
499,155,2011-01-16,MPelletier,9,1,0
500,101,2011-01-16,NickAldwin,1,0,0
501,101,2011-01-16,Mike Meyers,3,0,0
503,101,2011-01-17,conorgriffin,2,0,0
505,101,2011-01-17,Doug Porter,3,9,0
506,101,2011-01-17,Matthew Whited,2,4,0
508,3174,2011-01-17,Andrew Bickerton,183,389,9
509,121,2011-01-17,Paul A. Hoadley,4,0,0
510,123,2011-01-17,Barthelemy,3,0,0
511,173,2011-01-17,tmow,11,3,0
512,101,2011-01-17,Julien,1,2,0
514,101,2011-01-17,Jamie,1,0,0
515,3663,2011-01-17,René Nyffenegger,443,80,1
516,101,2011-01-17,Liedman,1,1,0
517,153,2011-01-17,Ivo Flipse,7,12,0
518,101,2011-01-17,Andy,1,1,0
519,21,2011-01-17,MauMen,1,0,0
520,155,2011-01-17,David Murdoch,15,12,0
521,677,2011-01-17,Jeremy Boyd,41,5,0
522,234,2011-01-17,Michel de Ruiter,13,123,1
523,101,2011-01-17,duffbeer703,1,0,0
525,263,2011-01-17,GordyII,5,0,0
527,839,2011-01-17,Vladimir Oselsky,85,30,0
528,285,2011-01-17,statichippo,10,0,0
529,101,2011-01-17,scunliffe,4,14,0
530,413,2011-01-17,brett rogers,41,9,0
532,101,2011-01-18,Zach,1,1,0
533,1068,2011-01-18,AndrewSQL,105,36,0
534,101,2011-01-18,Vicfred,2,0,0
535,133,2011-01-18,jimjim,5,6,0
539,101,2011-01-18,alexandrul,1,58,0
541,101,2011-01-18,Andrei Coșcodan,4,33,0
542,297,2011-01-18,Jimmy Collins,23,7,0
543,101,2011-01-18,lance,2,0,0
545,101,2011-01-18,Nitrodist,1,0,0
546,236,2011-01-18,Nick Larsen,7,8,0
547,331,2011-01-18,user547,21,1,0
551,101,2011-01-18,poke,1,0,0
552,1334,2011-01-19,Mitch Wheat,342,197,79
553,121,2011-01-19,KristoferA,4,5,0
554,829,2011-01-19,SabreWolfy,62,11,0
555,19996,2011-01-19,Justin Cave,1859,575,48
557,656,2011-01-19,APC,95,11,0
558,4334,2011-01-19,Vincent Malgrat,349,250,5
559,101,2011-01-19,Ben Wyatt,2,16,0
560,101,2011-01-19,Derek Organ,1,0,0
561,101,2011-01-19,Phil,1,0,0
563,335,2011-01-19,Coding Gorilla,54,8,0
564,201,2011-01-19,Allan,6,9,0
565,101,2011-01-19,gerikson,1,11,0
566,101,2011-01-19,BQ.,2,14,0
568,142,2011-01-20,John Saunders,14,21,1
569,359,2011-01-20,Brian Knight,39,17,0
571,99,2011-01-20,Hightechrider,3,6,0
573,101,2011-01-20,Mohammad Ali Akbari,4,3,0
574,663,2011-01-20,Matthew Steeples,57,12,0
575,101,2011-01-20,grimmig,1,0,0
576,153,2011-01-20,Xoum,11,3,0
578,101,2011-01-20,Parsa,2,0,0
579,101,2011-01-20,yeradis,5,0,0
583,93,2011-01-20,RelentlessMike,14,3,0
584,143,2011-01-20,Remy,2,12,0
586,216,2011-01-21,Wyatt Barnett,5,0,0
588,523,2011-01-21,Andrew Shepherd,29,17,0
589,103,2011-01-21,Britt Wescott,2,78,0
590,141,2011-01-21,Peter Bridger,15,0,0
591,101,2011-01-21,JackLeo,4,3,0
592,483,2011-01-21,Deeptechtons,45,10,0
593,101,2011-01-21,François Feugeas,13,1,0
594,1516,2011-01-21,goric,49,58,1
595,143,2011-01-21,Sean Patrick Floyd,12,1,0
597,137,2011-01-21,Nick Haslam,9,8,0
598,101,2011-01-21,Drake,2,0,0
599,151,2011-01-21,ern0,5,2,0
600,101,2011-01-21,Mark,1,0,0
601,565,2011-01-21,Jay Cummins,16,374,0
603,101,2011-01-21,phirschybar,3,9,0
604,101,2011-01-21,Neil,3,0,0
605,101,2011-01-21,Daniel,4,5,0
606,163,2011-01-21,Nick Berardi,15,0,0
607,101,2011-01-21,mozillalives,1,4,0
608,731,2011-01-21,Zerotoinfinity,45,44,2
609,709,2011-01-22,Tim Schmelter,133,21,0
610,2198,2011-01-22,SqlACID,123,133,4
611,101,2011-01-22,George V. Reilly,7,3,0
612,131,2011-01-22,Robin Rodricks,20,0,0
613,101,2011-01-22,rzlines,4,0,0
616,101,2011-01-22,Midhat,4,1,0
617,101,2011-01-22,yhw42,2,0,0
618,168,2011-01-22,David Atkinson,24,21,0
619,173,2011-01-22,mafu,6,15,0
620,21,2011-01-22,Andrew,6,0,0
621,71,2011-01-23,user621,2,0,0
622,143,2011-01-23,macha,4,0,0
623,153,2011-01-23,Tiago Gouvêa,13,0,0
624,101,2011-01-23,Chris Henry,15,2,0
625,101,2011-01-23,eksortso,3,7,0
627,111,2011-01-23,Arnaud Le Blanc,3,0,0
630,68817,2011-01-23,gbn,7034,1098,65
631,207,2011-01-24,Jonathan Wood,19,4,0
632,241,2011-01-24,James,7,0,0
633,141,2011-01-24,Paul Sasik,4,31,0
634,115,2011-01-24,Shannon Severance,24,42,0
635,101,2011-01-24,Shekhar_Pro,3,0,0
636,101,2011-01-24,Philip,1,0,0
637,101,2011-01-24,mireille raad,4,0,0
638,101,2011-01-24,Backie,1,0,0
639,1,2011-01-24,Michel Klomp,5,0,0
640,161,2011-01-24,henry.oswald,4,0,0
641,101,2011-01-24,Karl Nicoll,1,0,0
642,101,2011-01-24,ryebr3ad,1,0,0
643,101,2011-01-24,G_P,2,6,0
645,101,2011-01-24,Lukasz Stelmach,1,2,0
646,101,2011-01-24,Wulfhart,1,3,0
647,101,2011-01-24,Maciej Pasternacki,2,0,0
648,657,2011-01-24,Scott,33,4,0
650,2020,2011-01-24,kacalapy,65,19,1
651,317,2011-01-25,robertpostill,12,16,0
652,101,2011-01-25,Andrew,2,0,0
653,1185,2011-01-25,WernerCD,69,22,0
654,367,2011-01-25,Jonas Stawski,15,3,0
655,313,2011-01-25,Fuzzy Purple Monkey,17,2,0
657,101,2011-01-25,Metalshark,3,1,0
658,101,2011-01-25,Martin Bøgelund,3,1,0
659,431,2011-01-25,Joril,10,47,0
660,593,2011-01-25,Amir Rezaei,29,3,0
661,183,2011-01-25,Michael Weibel,12,1,0
662,101,2011-01-25,bdonlan,3,1,0
663,101,2011-01-25,Andy Gherna,1,0,0
664,762,2011-01-25,Bruce,39,1,0
665,101,2011-01-25,Swinders,2,5,0
666,101,2011-01-25,Dave Cowart,2,0,0
668,154,2011-01-25,Todd Pierce,9,1,0
670,101,2011-01-25,trip0d199,3,2,0
671,185,2011-01-25,Highway of Life,17,9,0
672,1,2011-01-25,sriehl,1,0,0
673,101,2011-01-25,aspartame,3,0,0
674,101,2011-01-25,KillerDBA,7,0,0
675,101,2011-01-25,Jeshizaemon,1,2,0
676,1,2011-01-25,jgroat,3,0,0
677,101,2011-01-25,Pif,1,0,0
678,101,2011-01-26,smokris,1,1,0
679,362,2011-01-26,Russell Steen,19,15,1
680,674,2011-01-26,araqnid,120,19,0
681,183,2011-01-26,Paul Kroon,4,1,0
682,121,2011-01-26,NetConstructor.com,51,0,0
683,101,2011-01-26,Ultor,5,0,0
685,101,2011-01-26,Stefano,2,2,0
686,1874,2011-01-26,yrushka,299,20,1
687,273,2011-01-26,Kami,7,3,0
688,101,2011-01-26,Danita,2,0,0
690,101,2011-01-26,fasouto,6,0,0
691,644,2011-01-26,Nomad,107,6,0
692,101,2011-01-26,Arc,6,0,0
693,559,2011-01-26,Greg B,17,46,0
694,101,2011-01-26,Cognitronic,2,0,0
695,5785,2011-01-26,bhamby,152,19,0
696,166,2011-01-26,Manzabar,4,19,0
697,101,2011-01-26,Sid,1,0,0
699,101,2011-01-26,Ragnar123,1,2,0
700,101,2011-01-26,willjcroz,2,0,0
701,211,2011-01-26,mvbl fst,8,2,0
702,101,2011-01-26,Jazz,1,3,0
703,183,2011-01-26,Dan Appleyard,16,5,0
705,171,2011-01-26,thursdaysgeek,25,108,0
708,50803,2011-01-27,Remus Rusanu,3264,645,28
709,101,2011-01-27,Mutahir,1,0,0
710,965,2011-01-27,Miles D,46,18,0
711,192,2011-01-27,AnonJr,6,21,1
712,131,2011-01-27,Achu,5,0,0
714,101,2011-01-27,Zottek,1,0,0
715,101,2011-01-27,Luciano Facchinelli,5,0,0
716,101,2011-01-27,Thomas Bonini,4,1,0
718,101,2011-01-28,Nick Bedford,5,7,0
719,101,2011-01-28,El Yobo,2,1,0
722,101,2011-01-28,Andrew Flanagan,1,4,0
