id,posttypeid,posttype,title,acceptedanswerid,parentid,creationdate,score,viewcount,owneruserid,lasteditoruserid,tags
36,1,Question,Are there any MySQL Benchmarking tools?,39,,2011-01-03,12,7902,22,877,<mysql><benchmark><configuration>
39,2,Answer,,,36,2011-01-03,6,,50,50,
40,2,Answer,,,30,2011-01-03,20,,82,51,
43,1,Question,How to create a conditional index in MySQL?,57347,,2011-01-03,27,18778,41,36809,<mysql><index><filtered-index>
45,2,Answer,,,3,2011-01-03,3,,51,51,
46,1,Question,"What does ""index"" mean on RDBMSs?",61,,2011-01-03,21,4620,80,171,<index><rdbms>
48,1,Question,Traversing tree-like data in a relational database using SQL,259,,2011-01-03,17,8211,13,1192,<tree><hierarchy><feature-comparison>
49,1,Question,CouchDB vs MongoDB,,,2011-01-03,18,1484,78,877,<nosql><document-oriented><mongodb><couchdb>
50,2,Answer,,,46,2011-01-03,9,,61,61,
51,1,Question,What are the performance implications of polymodels versus normal Bigtable models in Google App Engine?,,,2011-01-03,12,280,97,41669,<performance><google-app-engine><bigtable>
52,1,Question,"In Google App Engine, what is the most effective many-to-many join model?",,,2011-01-03,9,3304,97,877,<performance><google-app-engine>
54,2,Answer,,,48,2011-01-03,5,,61,1192,
57,2,Answer,,,48,2011-01-03,10,,60,1192,
59,1,Question,When to use NULL and when to use an empty string?,69,,2011-01-03,106,113912,41,154,<null><feature-comparison><empty-string>
61,2,Answer,,,46,2011-01-03,11,,50,50,
62,1,Question,How to structure a model to properly and efficiently represent tree-like data on relational databases?,68,,2011-01-03,13,1747,41,-1,<tree><relational-theory><database-design><erd>
63,1,Question,NULL or NOT NULL by default?,65,,2011-01-03,41,19127,39,877,<mysql><null>
64,1,Question,"Is there a ""best-practices"" type process for developers to follow for database changes?",87,,2011-01-03,31,1804,101,101,<sql-server-2008><process><source-control>
65,2,Answer,,,63,2011-01-03,25,,61,61,
66,1,Question,Biological Sequences of UniProt in PostgreSQL,367,,2011-01-03,11,802,87,87,<postgresql>
71,1,Question,"How much ""Padding"" do I put on my indexes?",107,,2011-01-04,9,1168,101,22336,<sql-server-2008><index><optimization><index-tuning><fill-factor>
73,2,Answer,,,5,2011-01-04,61,,106,-1,
76,1,Question,Limits of SQLite ,106,,2011-01-04,23,2567,113,877,<sqlite>
77,1,Question,Normalization Exercise Resources,117,,2011-01-04,13,17351,113,877,<normalization>
80,1,Question,How can I query names using regular expressions?,91,,2011-01-04,7,7990,109,154,<oracle><regular-expression>
81,1,Question,How to find the latest SQL statements within the database?,343,,2011-01-04,26,128376,109,109,<oracle><monitoring>
82,1,Question,Comfortable sqlplus interface?,212,,2011-01-04,21,7131,109,106,<oracle><tools><sqlplus>
84,1,Question,Mnesia: advantages and differences,,,2011-01-04,28,16724,119,154,<feature-comparison>
85,1,Question,Oracle Support Tips & Tricks,,,2011-01-04,7,434,109,154,<oracle><vendor-support>
86,1,Question,Alternative Database Tools for Web Admin,92,,2011-01-04,8,1637,43,877,<mysql><tools>
87,2,Answer,,,64,2011-01-04,17,,116,-1,
90,1,Question,MySQL LDAP authentication,,,2011-01-04,8,2357,119,119,<mysql><security><authentication><authorization>
92,2,Answer,,,86,2011-01-04,6,,109,-1,
93,1,Question,What does the output of a JOIN statement look like?,244,,2011-01-04,8,345,121,5669,<mysql><join><foreign-key>
96,1,Question,How can I change the default storage engine in phpmyadmin?,187,,2011-01-04,31,51217,121,877,<mysql><innodb><myisam><phpmyadmin>
106,2,Answer,,,76,2011-01-04,16,,125,-1,
107,2,Answer,,,71,2011-01-04,10,,60,3690,
109,2,Answer,,,81,2011-01-04,13,,120,120,
122,1,Question,Get and Put performance testing on Google BigTables (and other integrated DBs),,,2011-01-04,17,667,97,-1,<database-design><google-app-engine><performance><performance-testing>
123,1,Question,What are some ways to implement a many-to-many relationship in a data warehouse?,374,,2011-01-04,28,17885,97,97,<database-design><data-warehouse>
125,1,Question,Whats the maximum number of tables that can be referenced in a query in MySQL?,128,,2011-01-04,7,2590,76,-1,<mysql>
126,1,Question,What are the main causes of deadlocks and can they be prevented?,160,,2011-01-04,57,75082,130,1186,<sql-server><sql-server-2008><deadlock>
127,1,Question,Do stored procedures prevent SQL injection?,1155,,2011-01-04,86,12069,139,993,<postgresql><security><sql-injection>
128,2,Answer,,,125,2011-01-04,9,,139,139,
130,1,Question,How should deletions be handled in the database?,,,2011-01-04,45,7292,78,4839,<database-design><delete><audit>
131,2,Answer,,,130,2011-01-04,39,,24,807,
132,2,Answer,,,130,2011-01-04,9,,22,1777,
133,2,Answer,,,36,2011-01-04,4,,139,6037,
135,1,Question,How can I use an ETL?,137,,2011-01-04,3,1438,24,2626,<etl>
137,2,Answer,,,135,2011-01-04,11,,97,-1,
139,2,Answer,,,127,2011-01-04,29,,130,42379,
144,1,Question,When should I use a unique constraint instead of a unique index?,147,,2011-01-04,253,123522,136,2660,<sql-server><index><best-practices><constraint><unique-constraint>
146,1,Question,Are there tools for SQL-Server helping to add the semicolons?,,,2011-01-04,6,252,136,121,<sql-server-2008><syntax>
147,2,Answer,,,144,2011-01-04,206,,61,61,
148,1,Question,How do you test for race conditions in a database?,,,2011-01-04,32,7763,115,115,<concurrency><testing>
150,2,Answer,,,130,2011-01-04,23,,61,61,
153,1,Question,What is the difference between an INNER  JOIN and an OUTER JOIN ?,156,,2011-01-04,35,49920,153,1561,<join>
155,2,Answer,,,153,2011-01-04,8,,154,-1,
156,2,Answer,,,153,2011-01-04,32,,64,2660,
158,2,Answer,,,153,2011-01-04,7,,139,139,
162,1,Question,What does HSJOIN mean in an Explain Plan?,182,,2011-01-04,1,819,39,39,<explain><db2>
166,2,Answer,,,86,2011-01-04,1,,134,134,
167,1,Question,Best practices for connecting DBs that are in different geographical regions,172,,2011-01-04,12,534,68,23076,<sql-server-2008><best-practices><network>
168,1,Question,Can Oracle be installed on Windows without being an administrator?,178,,2011-01-04,10,6140,154,154,<oracle><windows>
169,1,Question,Is there a way to allow a proxy connection to use passed authentication in a public database link?,282,,2011-01-04,3,1335,154,154,<oracle><oracle-11g-r2><oracle-11g><database-link>
171,1,Question,"For a MySQL query, how do you determine physical and logical I/O?",,,2011-01-04,8,6590,14,877,<mysql><performance><query>
174,1,Question,How can I move a database from one server to another?,,,2011-01-04,160,298306,134,877,<mysql><backup><migration><mysqldump>
175,1,Question,Can a Wallet be used with SQL Developer? How?,176,,2011-01-04,2,6232,154,154,<oracle><wallet><oracle-11g-r2>
177,2,Answer,,,174,2011-01-04,8,,22,22,
180,2,Answer,,,174,2011-01-04,97,,14,-1,
185,1,Question,How to connect to another db using stored procedures?,189,,2011-01-04,11,16317,18,101,<oracle><database-link><stored-procedures>
186,1,Question,How to create multiple entries on index based on the fields of one row?,6350,,2011-01-04,4,198,41,180,<mysql><index><optimization>
188,1,Question,books for aspiring DBA,,,2011-01-04,5,277,12,-1,<learning>
194,1,Question,How do you tune MySQL for a heavy InnoDB workload?,640,,2011-01-04,40,69357,102,877,<mysql><performance><innodb>
197,1,Question,"Do I need separate indexes for each type of query, or will one multi-column index work?",203,,2011-01-04,22,2636,163,130,<sql-server><index>
198,2,Answer,,,135,2011-01-04,4,,165,877,
199,1,Question,Is there a way to measure replication lag in MySQL with a resolution less than 1 second?,231,,2011-01-04,6,2391,102,877,<mysql><replication>
200,1,Question,The Value of Certifications,,,2011-01-04,21,1063,102,1186,<career>
201,1,Question,Which databases are recommended to be used as embedded databases?,205,,2011-01-04,8,705,16,154,<database-recommendation><embedded>
213,1,Question,Must-read Books for DBA,,,2011-01-04,18,22732,41,10832,<learning>
214,2,Answer,,,200,2011-01-04,10,,24,877,
231,2,Answer,,,199,2011-01-04,9,,169,877,
232,1,Question,Character vs Integer primary keys,242,,2011-01-05,31,8468,39,39,<mysql><primary-key>
242,2,Answer,,,232,2011-01-05,22,,97,1192,
249,1,Question,SQL Server - How are data pages stored when using a clustered index,273,,2011-01-05,13,1178,104,39,<sql-server><data-pages><clustered-index>
252,1,Question,Is there a performance gain by handling data with stored procedures versus feeding it into functions after retrieval?,258,,2011-01-05,8,216,121,82,<mysql><performance><stored-procedures>
255,1,Question,Which collation should I choose for a muiti-language website?,257,,2011-01-05,25,5151,48,48,<performance><sql-server><collation>
259,2,Answer,,,48,2011-01-05,14,,174,1192,
267,2,Answer,,,200,2011-01-05,8,,109,33232,
270,1,Question,Task scheduler for SQL Server Express,271,,2011-01-05,19,11624,67,130,<sql-server-2008><backup><express-edition><jobs><maintenance>
271,2,Answer,,,270,2011-01-05,9,,130,-1,
278,1,Question,What database platform better at scaling?,,,2011-01-05,0,224,19,19,<scalability>
280,1,Question,Does it make sense to use SQL Servers bracket notation in hand written code?,,,2011-01-05,15,14548,136,2241,<sql-server><t-sql><style>
286,1,Question,version controll application/system for mysql databases,,,2011-01-05,1,161,105,-1,<mysql><version-control>
287,1,Question,Is this a new common pattern in Oracle Where exists ( Select NULL FROM...)?,292,,2011-01-05,8,1128,136,-1,<oracle><sql-server><style>
288,1,Question,different login credentials based on user,302,,2011-01-05,6,475,43,43,<mysql><security>
290,1,Question,Is it better to store calculated values or recalculate them on request?,295,,2011-01-05,9,8181,18,-1,<performance><database-design>
293,2,Answer,,,287,2011-01-05,5,,154,154,
295,2,Answer,,,290,2011-01-05,11,,61,61,
297,1,Question,Why cant I read Oracles CLOB columns via SQL-SERVER 2008 linked server?,,,2011-01-05,10,5586,136,193,<oracle><sql-server-2008><oracle-11g>
299,1,Question,Why is OS authentication considered poor security for Oracle databases?,948,,2011-01-05,29,16507,154,154,<oracle><oracle-11g-r2><security>
303,1,Question,Where to put a database in case of IP failover?,312,,2011-01-05,6,142,67,1186,<sql-server-2008><high-availability>
309,1,Question,Code to simulate deadlock,314,,2011-01-05,28,36663,81,81,<sql-server><deadlock>
310,1,Question,Speeding up conversion of MyISAM to InnoDB,363,,2011-01-05,15,2892,180,877,<mysql-5><storage-engine>
311,2,Answer,,,309,2011-01-05,7,,34,39384,
319,1,Question,What are some important MySQL status variables to keep an eye on?,,,2011-01-05,7,1891,180,180,<mysql><monitoring>
321,1,Question,Dynamic SQL in MySQL stored routines,1906,,2011-01-06,13,6713,180,877,<mysql><stored-procedures><trigger>
333,2,Answer,,,59,2011-01-06,7,,78,-1,
337,1,Question,How to change SQL Server collation,341,,2011-01-06,27,68126,67,877,<sql-server><sql-server-2008><collation>
338,1,Question,Can I change the SID of an Oracle database?,560,,2011-01-06,20,84197,136,4375,<oracle><oracle-11g><linux>
340,2,Answer,,,338,2011-01-06,17,,97,97,
346,2,Answer,,,310,2011-01-06,3,,159,159,
351,1,Question,How do I change the instance name in MS SQL 2005 without installing a new instance?,352,,2011-01-06,13,6998,171,171,<sql-server-2005><instance>
354,1,Question,How do I stop refresh conflicts between Proactive Caching of facts and timed refresh of Dimensions in a SQL Server Analysis Service 2005 OLAP cube?,,,2011-01-06,4,2090,29,29,<sql-server><ssas>
358,1,Question,How do I shrink all files quickly for all databases?,360,,2011-01-06,51,137672,171,9434,<sql-server><sql-server-2008><shrink>
359,1,Question,What other databases have a feature similar to Oracles Flashback Query?,362,,2011-01-06,18,11679,154,-1,<flashback><feature-comparison>
360,2,Answer,,,358,2011-01-06,67,,92,2660,
361,1,Question,How can a datapump export have its resource usage limited on linux?,365,,2011-01-06,8,990,154,154,<oracle><oracle-11g-r2><linux><datapump><export>
364,1,Question,"SQL Server 2008 log files have minimum sizes, what gives and how do I make them smaller?",376,,2011-01-06,7,8063,171,130,<sql-server-2008><sql-server><shrink><logs>
369,1,Question,INT(5) vs SMALLINT(5): numbers in parenthesis after the numeric type,370,,2011-01-07,31,57765,39,2639,<mysql><datatypes>
370,2,Answer,,,369,2011-01-07,43,,180,2639,
371,2,Answer,,,84,2011-01-07,14,,97,-1,
373,2,Answer,,,171,2011-01-07,4,,97,-1,
374,2,Answer,,,123,2011-01-07,18,,68,68,
376,2,Answer,,,364,2011-01-07,7,,76,-1,
378,1,Question,How to get the Oracle Text Indexs underlying Virtual XML Document?,379,,2011-01-07,3,456,107,-1,<oracle><oracle-10g><full-text-search>
380,1,Question,What is the impact of changing the index creation memory setting in SQL Server?,,,2011-01-07,12,3016,83,877,<sql-server><sql-server-2008>
381,1,Question,What is the meaning of DOP in the context of SQL Server?,382,,2011-01-07,10,5149,83,877,<sql-server>
385,1,Question,Is it common practice to mix InnoDB and MyISAM tables on same server?,1029,,2011-01-07,25,17791,180,-1,<mysql><innodb><myisam><storage-engine>
386,1,Question,What is the difference between MySQL VARCHAR and TEXT data types?,418,,2011-01-07,22,38914,180,180,<mysql><database-design><datatypes>
389,1,Question,How can a datapump export have its resource usage limited on windows?,428,,2011-01-07,7,2258,154,154,<oracle><oracle-11g-r2><datapump><export><windows>
390,1,Question,Is there anybody using the SQL Server feature to create groups of stored procedures differentiated by number?,403,,2011-01-07,11,231,136,877,<sql-server><stored-procedures>
394,1,Question,Which database engines will allow me to GRANT/REVOKE on a specific column?,406,,2011-01-07,6,518,174,877,<database-recommendation><feature-comparison><permissions>
396,1,Question,Are there any database engines which will intuit the join condition based on the existing foreign keys?,,,2011-01-07,11,233,174,154,<database-recommendation><feature-comparison><join><foreign-key>
397,2,Answer,,,380,2011-01-07,5,,134,-1,
398,2,Answer,,,396,2011-01-07,4,,51,-1,
399,2,Answer,,,394,2011-01-07,8,,81,81,
401,1,Question,"What is SQL Server ""Denali""? Whats new?",423,,2011-01-07,20,6318,81,1186,<features><sql-server-2012>
403,2,Answer,,,390,2011-01-07,5,,81,8489,
404,2,Answer,,,14,2011-01-07,8,,186,877,
405,1,Question,What is the difference between sys and system accounts in Oracle databases?,408,,2011-01-07,45,88383,44,154,<oracle><oracle-11g-r2>
406,2,Answer,,,394,2011-01-07,5,,82,807,
409,1,Question,Is Oracle not suited as the database behind websites like Stackoverflow?,410,,2011-01-07,0,386,44,-1,<oracle><sql-server>
411,1,Question,What security threats does the SA account and other known account names pose to security?,420,,2011-01-07,10,3754,19,19,<sql-server><security>
418,2,Answer,,,386,2011-01-08,16,,51,-1,
419,2,Answer,,,385,2011-01-08,7,,41,877,
420,2,Answer,,,411,2011-01-08,11,,61,61,
423,2,Answer,,,401,2011-01-08,13,,190,2660,
424,1,Question,Performance implications of MySQL VARCHAR sizes,,,2011-01-08,55,29361,39,877,<mysql><performance><datatypes><varchar>
433,1,Question,Why does an Oracle database require both the SYSTEM and the SYSAUX tablespaces?,438,,2011-01-09,8,5604,44,120,<oracle>
434,1,Question,How does a database use the SYS schema even when we change the password?,436,,2011-01-09,2,456,44,-1,<oracle><oracle-11g-r2>
435,1,Question,How does the Oracle DUAL table work?,437,,2011-01-09,33,60667,44,51,<oracle>
437,2,Answer,,,435,2011-01-09,29,,97,-1,
438,2,Answer,,,433,2011-01-09,13,,97,-1,
439,2,Answer,,,435,2011-01-09,18,,191,2660,
440,1,Question,"How do convert a 66,862,521 row table from MyISAM to InnoDB without going offline for several hours?",451,,2011-01-09,18,1682,191,191,<mysql><innodb>
441,2,Answer,,,440,2011-01-09,9,,61,61,
442,1,Question,Did anybody use sqlcmd mode in practice?,479,,2011-01-09,12,1049,136,2660,<sql-server-2005><ssms><sqlcmd>
443,2,Answer,,,440,2011-01-09,10,,51,-1,
447,1,Question,Can filtered indexes help improve queries that are based on a time entered or should this be avoided?,493,,2011-01-09,6,511,101,2660,<sql-server-2008><database-design><index>
449,1,Question,Tool to generate large datasets of test data,,,2011-01-09,25,29495,39,-1,<mysql><tools><performance><performance-testing>
450,2,Answer,,,442,2011-01-09,1,,81,81,
451,2,Answer,,,440,2011-01-09,15,,180,180,
456,2,Answer,,,449,2011-01-10,9,,192,24628,
458,2,Answer,,,390,2011-01-10,7,,130,877,
461,1,Question,Duplicate column for faster queries?,465,,2011-01-10,36,9371,105,877,<database-design><normalization>
467,1,Question,MS SQL Server 2008: How to improve performance after deleting transaction log file,471,,2011-01-10,3,4582,176,97,<sql-server-2008><performance>
468,1,Question,How to change the firing order of Triggers?,469,,2011-01-10,12,4074,81,81,<sql-server-2008><sql-server-2005><trigger>
469,2,Answer,,,468,2011-01-10,12,,130,130,
470,2,Answer,,,468,2011-01-10,12,,61,61,
473,1,Question,Where should one put indexes in a time dimension table?,,,2011-01-10,10,1860,24,-1,<database-design><index><data-warehouse>
474,2,Answer,,,473,2011-01-10,5,,154,154,
482,1,Question,How can I tell WHY an insert on a certain table is slow?,483,,2011-01-10,30,66309,157,130,<sql-server><insert><sql-server-2000><database-tuning>
486,1,Question,Are there any professional fulltime PostgreSQL DBAs?,497,,2011-01-10,9,2384,243,877,<postgresql>
500,1,Question,"When using an ORM, what are some things to watch out for in your database design",,,2011-01-11,19,1411,161,161,<performance><orm>
503,2,Answer,,,500,2011-01-11,7,,297,297,
511,1,Question,How do I list or search all the column names in my database?,513,,2011-01-11,41,166136,307,2660,<sql-server><sql-server-2008><database-design><metadata>
515,1,Question,How do you document your databases?,,,2011-01-11,241,117392,316,877,<sql-server><documentation>
518,2,Answer,,,515,2011-01-11,84,,321,10832,
519,1,Question,SQL Profiler tutorials for newbie,522,,2011-01-11,11,2702,307,97,<sql-server-2008><learning><profiler>
521,1,Question,MySQL CREATE statement are really slow (Mac OS X / Macport install),,,2011-01-11,3,652,324,877,<mysql><performance>
523,1,Question,How to compare performance of two versions of a function?,528,,2011-01-11,4,435,136,-1,<sql-server><performance><performance-testing>
526,1,Question,"Can you ""su -"" in MySQL?",563,,2011-01-11,7,2743,115,877,<mysql><permissions>
530,1,Question,How do you clear out all old query plans from within Microsoft SQL Server?,564,,2011-01-11,12,19631,283,130,<sql-server><performance><query>
531,2,Answer,,,515,2011-01-11,20,,116,877,
534,1,Question,What do you call something thats not the primary key?,,,2011-01-11,7,1065,51,51,<terminology>
537,2,Answer,,,534,2011-01-11,6,,244,154,
539,2,Answer,,,500,2011-01-11,12,,352,9490,
541,2,Answer,,,449,2011-01-11,3,,351,39,
542,1,Question,MySQL and Solid State Disks on EMC,565,,2011-01-11,5,381,351,877,<mysql><performance><storage>
544,1,Question,How to make iSQL/FreeTDS behave like a normal client?,4981,,2011-01-11,4,1362,63,1817,<freetds><unixodbc><sybase><isql><odbc>
545,1,Question,Is it unwise to run replication on same physical server?,552,,2011-01-11,13,4544,180,877,<mysql><replication><myisam>
550,1,Question,Can I create index on a table in a MySQL database while in use,603,,2011-01-11,23,12709,371,102,<mysql><index><concurrency>
552,2,Answer,,,545,2011-01-11,11,,61,61,
553,2,Answer,,,33,2011-01-11,29,,351,877,
558,2,Answer,,,530,2011-01-11,13,,260,130,
561,1,Question,Good Resources on Operating/Administering MongoDB,572,,2011-01-11,13,745,377,877,<mongodb>
571,1,Question,BLOB on DB2 v9 on z/OS,9612,,2011-01-12,5,4307,387,171,<db2>
572,2,Answer,,,561,2011-01-12,10,,392,-1,
573,1,Question,SSDs with Oracle,3673,,2011-01-12,19,2982,394,97,<oracle><performance>
577,1,Question,How to return a CTE as REFCURSOR from an Oracle stored procedure?,578,,2011-01-12,4,7081,136,154,<oracle><stored-procedures><oracle-11g><cte>
578,2,Answer,,,577,2011-01-12,4,,154,154,
579,2,Answer,,,577,2011-01-12,0,,136,136,
581,1,Question,"Is ""CREATE INDEX` in MySQL a Linear Operation?",582,,2011-01-12,20,915,371,877,<mysql><index>
582,2,Answer,,,581,2011-01-12,16,,61,61,
590,1,Question,"On a dedicated database server, how much memory to reserve for the OS?",,,2011-01-13,39,7898,162,154,<sql-server><windows><memory>
591,2,Answer,,,590,2011-01-13,30,,34,154,
597,1,Question,How do I stop/disable PITR and safely clean WAL segments?,,,2011-01-13,11,4086,308,308,<postgresql>
607,1,Question,What is a Key/Value store database?,,,2011-01-14,58,104585,13,130,<nosql>
610,1,Question,Does SQL Server Compact Edition 4 finally support Views?,630,,2011-01-14,6,5420,42,130,<features>
611,2,Answer,,,607,2011-01-14,8,,63,63,
618,2,Answer,,,297,2011-01-14,2,,136,-1,
625,2,Answer,,,607,2011-01-14,26,,442,13132,
629,1,Question,Passing array parameters to a stored procedure,633,,2011-01-14,64,285029,26,1396,<sql-server><sql-server-2008>
631,2,Answer,,,629,2011-01-14,3,,247,76,
632,2,Answer,,,629,2011-01-14,9,,171,807,
633,2,Answer,,,629,2011-01-14,50,,418,1192,
634,1,Question,"adding an order by to this query returns faster than without, why?",636,,2011-01-14,6,2297,101,101,<sql-server-2005><order-by>
636,2,Answer,,,634,2011-01-15,3,,61,61,
638,2,Answer,,,123,2011-01-15,5,,321,-1,
640,2,Answer,,,194,2011-01-15,16,,63,8712,
648,1,Question,Where can I find database tuning exercises for learning?,,,2011-01-16,32,2459,498,5555,<sql-server><database-tuning>
651,1,Question,Emulate REGEXP like behaviour in DB2 SQL,652,,2011-01-17,7,23702,511,-1,<db2><regular-expression>
653,1,Question,Calculating percentage of a row over total sum,655,,2011-01-17,15,97924,120,8783,<aggregate><oracle-10g-r2>
654,2,Answer,,,653,2011-01-17,9,,154,154,
659,1,Question,How to get rid of ORA-28002 message the password will expire within 6 days?,662,,2011-01-17,22,93935,136,154,<oracle><security>
661,2,Answer,,,659,2011-01-17,3,,154,154,
664,2,Answer,,,651,2011-01-17,6,,154,154,
665,1,Question,Case Behavior Changed Between 11.2.0.1 and 11.2.0.2,674,,2011-01-17,5,710,154,154,<oracle><oracle-11g-r2><windows><vendor-support>
667,1,Question,Building Dynamic Oracle Where Clause,670,,2011-01-17,7,26486,527,2639,<oracle><where>
668,1,Question,Audit logins on MySQL database,672,,2011-01-17,12,33993,528,877,<mysql><authentication><audit>
669,1,Question,Is the SQL Server IsShutdown property useful to determine whether a database is in a good state?,711,,2011-01-17,8,421,530,530,<sql-server>
670,2,Answer,,,667,2011-01-17,7,,515,515,
671,2,Answer,,,667,2011-01-17,6,,154,807,
672,2,Answer,,,668,2011-01-17,6,,63,63,
673,1,Question,"How does MS SQL Server decide when it can use ""Parallelism"" when executing queries?",676,,2011-01-17,7,1098,101,-1,<sql-server-2005><parallelism>
681,1,Question,Is there a reliable way to determine when you should run DBCC CLEANTABLE to reclaim space?,691,,2011-01-18,12,1431,533,1561,<sql-server><sql-server-2008><sql-server-2005>
682,1,Question,How do I search to see if a MySQL user exists on the system?,685,,2011-01-18,8,7361,115,877,<mysql>
685,2,Answer,,,682,2011-01-18,9,,115,-1,
687,2,Answer,,,21,2011-01-18,31,,386,35506,
688,1,Question,Replicating a remote MySQL database to MS SQL Server 2008,699,,2011-01-18,11,27976,542,877,<mysql><sql-server-2008><replication>
690,2,Answer,,,688,2011-01-18,4,,418,-1,
691,2,Answer,,,681,2011-01-18,12,,418,418,
692,1,Question,SQL Server 2008 - Cross database performance on same physical machine and server instance,695,,2011-01-18,14,9542,547,130,<sql-server-2008><performance>
703,1,Question,Confirm that my.cnf file has loaded OK,704,,2011-01-19,4,12710,7,877,<mysql><my.cnf>
704,2,Answer,,,703,2011-01-19,6,,180,-1,
708,1,Question,Remove field from composite key and collate duplicate data,709,,2011-01-19,6,3222,53,53,<sql-server-2008><primary-key>
710,1,Question,Best way to delete very large recordset in Oracle,721,,2011-01-19,19,80161,563,563,<oracle><oracle-11g><delete>
718,1,Question,How can I benchmark the performance of UDFs to figure out which one is faster?,,,2011-01-19,7,369,493,130,<sql-server-2008><performance><benchmark>
719,2,Answer,,,718,2011-01-19,7,,418,-1,
723,2,Answer,,,500,2011-01-20,2,,553,553,
724,1,Question,Data transformation implementation,725,,2011-01-20,5,119,81,81,<sql-server-2008><performance><database-design><database-recommendation>
726,1,Question,Is my function nondeterministic one,727,,2011-01-20,6,204,81,247,<sql-server><performance><determinism>
736,1,Question,Is it better to store images in a BLOB or just the URL?,741,,2011-01-20,41,43864,18,-1,<database-tuning><architecture>
742,1,Question,"Possible to run two DBCC INDEXDEFRAG commands simultaneously, each on a different table?",745,,2011-01-20,9,1946,583,247,<sql-server><sql-server-2005><index><dbcc>
751,2,Answer,,,435,2011-01-21,13,,515,3684,
757,1,Question,Can PostgreSQL tell me what configuration files its using?,764,,2011-01-21,8,1964,115,877,<postgresql><configuration>
760,1,Question,Is there any benefit of a primary key that comprises all columns of the table?,762,,2011-01-21,17,11979,594,594,<sql-server-2005><primary-key>
767,2,Answer,,,760,2011-01-21,0,,136,-1,
771,1,Question,Is there any tangible difference between a unique clustered index and a clustered primary key?,772,,2011-01-21,17,1583,594,594,<sql-server-2005><index><primary-key><clustered-index>
772,2,Answer,,,771,2011-01-21,15,,418,4839,
774,1,Question,Why does this Entity Framework query perform so bad in MySQL?,775,,2011-01-21,6,7265,606,247,<mysql><performance><orm><entity-framework>
778,1,Question,Obtaining gratis copy of the SQL specification?,,,2011-01-21,4,613,174,10832,<sql-standard>
779,1,Question,Inserting and updating and selecting at thousands of times per second,,,2011-01-21,7,808,521,521,<sql-server-2008><deadlock>
780,2,Answer,,,573,2011-01-21,7,,192,-1,
785,1,Question,What database front end do you use?,,,2011-01-22,4,12042,612,612,<mysql><oracle>
786,2,Answer,,,785,2011-01-22,4,,612,612,
788,1,Question,Is it a good idea/approach to index a VARCHAR column?,791,,2011-01-22,39,45491,308,-1,<performance><postgresql><index><query>
790,1,Question,Building Dynamic SQL-Server Where Clause,793,,2011-01-22,6,4107,136,-1,<sql-server><performance><sql-injection>
797,1,Question,Connection Pooling for PHP based website using Oracle 11g database,844,,2011-01-23,4,2995,622,877,<oracle-11g><database-tuning>
798,1,Question,MySQL Replication - Introduce new Slave to replication,,,2011-01-23,7,4212,621,3703,<mysql><replication>
799,1,Question,What is the best use of memory in MySQL?,800,,2011-01-23,5,1781,623,877,<mysql><performance><memory>
803,1,Question,BLOBs or references in PostgreSQL,815,,2011-01-23,11,2177,554,-1,<postgresql>
